Variable Name,Solution Value
"prod_proc[2029,proc,brine,lce]",0
"prod_proc[2029,proc,spod,loh]",434.665571
"prod_proc[2029,proc,spod,lce]",0
"prod_proc[2029,proc,clay,loh]",0
"prod_proc[2029,proc,clay,lce]",278.9992784
"prod_proc[2030,proc,brine,loh]",0
"prod_proc[2030,proc,brine,lce]",0
"prod_proc[2030,proc,spod,loh]",464.1248825
"prod_proc[2030,proc,spod,lce]",0
"prod_proc[2030,proc,clay,loh]",0
"prod_proc[2030,proc,clay,lce]",256.0265441
"prod_proc[2031,proc,brine,loh]",0
"prod_proc[2031,proc,brine,lce]",0
"prod_proc[2031,proc,spod,loh]",504.6299747
"prod_proc[2031,proc,spod,lce]",0
"prod_proc[2031,proc,clay,loh]",0
"prod_proc[2031,proc,clay,lce]",278.3704846
"prod_proc[2032,proc,brine,loh]",0
"prod_proc[2032,proc,brine,lce]",0
"prod_proc[2032,proc,spod,loh]",547.8218042
"prod_proc[2032,proc,spod,lce]",0
"prod_proc[2032,proc,clay,loh]",0
"prod_proc[2032,proc,clay,lce]",302.1965178
"prod_proc[2033,proc,brine,loh]",0
"prod_proc[2033,proc,brine,lce]",0
"prod_proc[2033,proc,spod,loh]",593.7473597
"prod_proc[2033,proc,spod,lce]",0
"prod_proc[2033,proc,clay,loh]",0
"prod_proc[2033,proc,clay,lce]",327.5305641
"prod_proc[2034,proc,brine,loh]",0
"prod_proc[2034,proc,brine,lce]",0
"prod_proc[2034,proc,spod,loh]",642.4346318
"prod_proc[2034,proc,spod,lce]",0
"prod_proc[2034,proc,clay,loh]",0
"prod_proc[2034,proc,clay,lce]",354.3880641
"prod_proc[2035,proc,brine,loh]",0
"prod_proc[2035,proc,brine,lce]",0
"prod_proc[2035,proc,spod,loh]",693.8904029
"prod_proc[2035,proc,spod,lce]",0
"prod_proc[2035,proc,clay,loh]",0
"prod_proc[2035,proc,clay,lce]",382.7727591
"prod_proc[2036,proc,brine,loh]",0
"prod_proc[2036,proc,brine,lce]",0
"prod_proc[2036,proc,spod,loh]",748.0982881
"prod_proc[2036,proc,spod,lce]",0
"prod_proc[2036,proc,clay,loh]",0
"prod_proc[2036,proc,clay,lce]",412.6756108
"prod_proc[2037,proc,brine,loh]",0
"prod_proc[2037,proc,brine,lce]",0
"prod_proc[2037,proc,spod,loh]",805.0171233
"prod_proc[2037,proc,spod,lce]",0
"prod_proc[2037,proc,clay,loh]",0
"prod_proc[2037,proc,clay,lce]",444.0739115
"prod_proc[2038,proc,brine,loh]",0
"prod_proc[2038,proc,brine,lce]",0
"prod_proc[2038,proc,spod,loh]",864.5797949
"prod_proc[2038,proc,spod,lce]",0
"prod_proc[2038,proc,clay,loh]",0
"prod_proc[2038,proc,clay,lce]",476.9306394
"prod_proc[2039,proc,brine,loh]",0
"prod_proc[2039,proc,brine,lce]",0
"prod_proc[2039,proc,spod,loh]",926.6926036
"prod_proc[2039,proc,spod,lce]",0
"prod_proc[2039,proc,clay,loh]",0
"prod_proc[2039,proc,clay,lce]",511.1941068
"prod_proc[2040,proc,brine,loh]",0
"prod_proc[2040,proc,brine,lce]",0
"prod_proc[2040,proc,spod,loh]",972.7600872
"prod_proc[2040,proc,spod,lce]",0
"prod_proc[2040,proc,clay,loh]",0
"prod_proc[2040,proc,clay,lce]",536.6064453
"prod_proc[2041,proc,brine,loh]",0
"prod_proc[2041,proc,brine,lce]",0
"prod_proc[2041,proc,spod,loh]",1038.340715
"prod_proc[2041,proc,spod,lce]",0
"prod_proc[2041,proc,clay,loh]",0
"prod_proc[2041,proc,clay,lce]",572.7828754
"prod_proc[2042,proc,brine,loh]",0
"prod_proc[2042,proc,brine,lce]",0
"prod_proc[2042,proc,spod,loh]",1105.994572
"prod_proc[2042,proc,spod,lce]",0
"prod_proc[2042,proc,clay,loh]",0
"prod_proc[2042,proc,clay,lce]",610.1029672
"prod_proc[2043,proc,brine,loh]",0
"prod_proc[2043,proc,brine,lce]",0
"prod_proc[2043,proc,spod,loh]",1175.53173
"prod_proc[2043,proc,spod,lce]",0
"prod_proc[2043,proc,clay,loh]",0
"prod_proc[2043,proc,clay,lce]",648.46195
"prod_proc[2044,proc,brine,loh]",0
"prod_proc[2044,proc,brine,lce]",0
"prod_proc[2044,proc,spod,loh]",1246.742726
"prod_proc[2044,proc,spod,lce]",0
"prod_proc[2044,proc,clay,loh]",0
"prod_proc[2044,proc,clay,lce]",687.7442766
"prod_proc[2045,proc,brine,loh]",0
"prod_proc[2045,proc,brine,lce]",0
"prod_proc[2045,proc,spod,loh]",1319.401799
"prod_proc[2045,proc,spod,lce]",0
"prod_proc[2045,proc,clay,loh]",0
"prod_proc[2045,proc,clay,lce]",727.8254099
"prod_proc[2046,proc,brine,loh]",0
"prod_proc[2046,proc,brine,lce]",0
"prod_proc[2046,proc,spod,loh]",1393.270618
"prod_proc[2046,proc,spod,lce]",0
"prod_proc[2046,proc,clay,loh]",0
"prod_proc[2046,proc,clay,lce]",768.5738793
"prod_proc[2047,proc,brine,loh]",0
"prod_proc[2047,proc,brine,lce]",0
"prod_proc[2047,proc,spod,loh]",1468.102381
"prod_proc[2047,proc,spod,lce]",0
"prod_proc[2047,proc,clay,loh]",0
"prod_proc[2047,proc,clay,lce]",809.8535397
"prod_proc[2048,proc,brine,loh]",0
"prod_proc[2048,proc,brine,lce]",0
"prod_proc[2048,proc,spod,loh]",1543.646125
"prod_proc[2048,proc,spod,lce]",0
"prod_proc[2048,proc,clay,loh]",0
"prod_proc[2048,proc,clay,lce]",851.5259527
"prod_proc[2049,proc,brine,loh]",0
"prod_proc[2049,proc,brine,lce]",0
"prod_proc[2049,proc,spod,loh]",1619.651113
"prod_proc[2049,proc,spod,lce]",0
"prod_proc[2049,proc,clay,loh]",0
"prod_proc[2049,proc,clay,lce]",893.4528026
"prod_proc[2050,proc,brine,loh]",0
"prod_proc[2050,proc,brine,lce]",0
"prod_proc[2050,proc,spod,loh]",1695.871116
"prod_proc[2050,proc,spod,lce]",0
"prod_proc[2050,proc,clay,loh]",0
"prod_proc[2050,proc,clay,lce]",935.4982623
"prod_proc[2051,proc,brine,loh]",0
"prod_proc[2051,proc,brine,lce]",0
"prod_proc[2051,proc,spod,loh]",1772.068462
"prod_proc[2051,proc,spod,lce]",0
"prod_proc[2051,proc,clay,loh]",0
"prod_proc[2051,proc,clay,lce]",977.5312236
"prod_proc[2052,proc,brine,loh]",0
"prod_proc[2052,proc,brine,lce]",0
"prod_proc[2052,proc,spod,loh]",1848.0177
"prod_proc[2052,proc,spod,lce]",0
"prod_proc[2052,proc,clay,loh]",0
"prod_proc[2052,proc,clay,lce]",1019.42732
"prod_proc[2053,proc,brine,loh]",0
"prod_proc[2053,proc,brine,lce]",0
"prod_proc[2053,proc,spod,loh]",1923.50878
"prod_proc[2053,proc,spod,lce]",0
"prod_proc[2053,proc,clay,loh]",0
